 Generation (GWh) - Total
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2016/01",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
"2016/02",        0.00,       22.71,        0.00,        0.00,        0.00,        0.00
"2016/03",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
"2016/04",        0.00,       24.33,        0.00,        0.00,        0.00,        0.00
"2016/05",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
"2016/06",        0.00,       24.33,        0.00,        0.00,        0.00,        0.00
"2016/07",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
"2016/08",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
"2016/09",        0.00,       24.33,        0.00,        0.00,        0.00,        0.00
"2016/10",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
"2016/11",        0.00,       24.33,        0.00,        0.00,        0.00,        0.00
"2016/12",        0.00,       25.14,        0.00,        0.00,        0.00,        0.00
